target_index,pixel_scale,FWHM,R_E,r_s_eff,N_pix_expected,A_expected,max_snr_expected,IC_joint_expected,N_pix,A,max_snr,IC_joint
102,0.1,0.4,0.6826305870632211,0.3068957930823398,54,0.5400000000000001,4.922358704252574,7.5070375132846605,101,1.0100000000000002,7.331630268618634,14.040940534106493
103,0.1,0.4,0.7210862713619748,0.2874574288577528,6,0.06000000000000001,2.1416074218779495,0.940686601265576,65,0.6500000000000001,3.7896165795321672,10.190771513710407
104,0.1,0.4,0.4836258012221989,0.4191804605209833,0,0.0,1.270816525692664,0.0,52,0.5200000000000001,3.4631849237489627,3.7496591611608916
105,0.1,0.4,0.4980540214049109,0.495818897046706,77,0.7700000000000001,5.4547528931257885,4.834194485704218,129,1.2900000000000003,7.798879290741642,8.098845307218756
106,0.1,0.4,1.383500976083705,0.1662006925966071,25,0.25000000000000006,2.889070334103463,13.0066863221659,112,1.12,4.753509078402251,58.26995472330322
107,0.1,0.4,0.3540364767275135,0.2959415420364332,0,0.0,1.906082838290405,0.0,57,0.5700000000000001,3.4464809194448542,4.2618381308106255
108,0.1,0.4,0.3379333812030404,0.3910217191745398,0,0.0,1.670758620179493,0.0,65,0.6500000000000001,3.9555442798398732,3.510941448560694
109,0.1,0.4,1.3962825786602224,0.1846664614343692,27,0.2700000000000001,5.717364184228209,12.759365361676856,76,0.7600000000000001,6.934466324007217,35.915250647683
110,0.1,0.4,0.7375586897281367,0.1356508584025211,51,0.5100000000000001,9.965462318936106,17.331024301610626,102,1.0200000000000002,10.848824978261133,34.66204860322125
111,0.1,0.4,0.4102371891803201,0.4116254109096193,0,0.0,1.4072440208942802,0.0,54,0.5400000000000001,3.1745518478698873,3.363617689257738
112,0.1,0.4,1.164736178571959,0.5817879120734729,0,0.0,0.5962783510284007,0.0,43,0.4300000000000001,3.155787493745902,5.380360119130198
113,0.1,0.4,1.2276303269657003,0.483125399440903,0,0.0,0.5539856214762253,0.0,42,0.4200000000000001,3.1549819991673638,6.670172199628164
114,0.1,0.4,0.7823350432307653,0.4569880540826386,0,0.0,0.8239837265270195,0.0,66,0.6600000000000001,3.233521510587629,7.061742696546143
115,0.1,0.4,0.8210159054160121,0.4745783264552936,26,0.26000000000000006,3.2120856427206816,2.8112342513953803,92,0.9200000000000002,5.2474864895631805,9.94744427416827
116,0.1,0.4,0.5289089802363582,0.2582965462154709,0,0.0,1.029945595711045,0.0,52,0.5200000000000001,3.154871568005838,6.654963881453582
